,country,points,price,province
271,Greece,89,15,Santorini
272,Italy,89,26,Northeastern Italy
273,Argentina,89,19,Mendoza Province
274,Italy,89,13,Piedmont
275,Argentina,89,30,Mendoza Province
276,US,89,20,California
277,US,89,30,California
278,US,89,50,Oregon
279,Italy,89,52,Northeastern Italy
280,Austria,92,24,Kremstal
281,US,92,34,California
282,Italy,92,41,Tuscany
283,US,92,52,Oregon
284,Argentina,92,215,Mendoza Province
285,Austria,92,,Kremstal
286,US,92,60,California
287,Spain,92,40,Catalonia
288,Austria,92,,Kremstal
289,US,92,125,California
290,France,92,,Bordeaux
291,Italy,92,,Central Italy
292,France,92,45,France Other
293,Australia,92,70,South Australia
294,Argentina,92,30,Mendoza Province
295,US,87,35,California
296,Chile,87,20,Maipo Valley
297,US,87,15,California
298,Chile,87,19,Aconcagua Valley
299,Italy,87,,Piedmont
300,US,87,28,California
301,US,87,14,Washington
302,Italy,87,,Piedmont
303,Italy,87,56,Piedmont
304,Italy,87,,Piedmont
305,US,87,24,California
306,Romania,87,7,Recas
307,France,87,30,Burgundy
308,Greece,87,18,Santorini
309,Italy,87,20,Piedmont
310,Italy,87,18,Piedmont
311,New Zealand,87,18,Hawke's Bay
312,US,87,40,California
313,Italy,87,,Piedmont
314,US,87,28,California
315,Italy,86,15,Veneto
316,France,86,,Bordeaux
317,France,86,,Bordeaux
318,Chile,86,18,Curicó Valley
319,Italy,86,20,Veneto
320,Italy,86,22,Veneto
321,Italy,86,16,Veneto
322,Italy,86,18,Veneto
323,Chile,86,35,Colchagua Valley
324,Italy,86,12,Veneto
325,US,86,11,New York
326,Italy,86,15,Veneto
327,Chile,86,18,Limarí Valley
328,US,86,16,California
329,US,86,34,California
330,US,86,40,California
331,Chile,86,15,Casablanca Valley
332,Italy,86,19,Veneto
333,Italy,86,18,Veneto
334,France,86,42,Champagne
335,Italy,86,15,Veneto
336,Chile,83,35,Colchagua Costa
337,France,83,16,Languedoc-Roussillon
338,France,82,11,Provence
339,Spain,82,13,Catalonia
340,France,82,18,Alsace
341,US,82,48,California
342,Spain,82,11,Catalonia
343,Chile,81,20,Rapel Valley
344,Chile,80,19,Leyda Valley
345,Australia,100,350,Victoria
346,Australia,98,350,Victoria
347,Germany,97,775,Rheingau
348,Australia,97,100,Victoria
349,Australia,97,225,South Australia
350,Italy,97,150,Piedmont
351,Hungary,96,320,Tokaji
352,US,96,68,California
353,France,96,630,Burgundy
354,Germany,96,365,Rheingau
355,US,96,68,California
356,Australia,95,85,Victoria
357,France,95,350,Burgundy
358,Germany,95,66,Rheingau
359,France,95,110,Burgundy
360,Australia,95,125,South Australia
361,Italy,95,60,Piedmont
362,US,95,200,California
363,France,95,380,Burgundy
364,US,95,48,Oregon
365,Australia,95,60,South Australia
366,Italy,88,21,Northeastern Italy
367,Chile,88,10,Maipo Valley
368,Italy,88,11,Veneto
369,Italy,88,21,Northeastern Italy
370,US,88,160,California
371,Italy,88,23,Northeastern Italy
372,Italy,88,10,Veneto
373,Italy,88,15,Northeastern Italy
374,US,88,19,California
375,Italy,88,40,Tuscany
376,Italy,88,18,Northeastern Italy
377,Greece,88,,Naoussa
378,Mexico,88,18,Valle de Guadalupe
379,Italy,88,15,Northeastern Italy
380,Chile,88,12,Rapel Valley
381,Italy,88,11,Veneto
382,Chile,88,15,Maipo Valley
383,Italy,88,9,Veneto
384,Italy,88,30,Northeastern Italy
385,US,88,18,California
386,US,88,34,California
387,US,88,17,California
388,US,88,25,California
389,Italy,88,15,Northeastern Italy
390,Chile,88,12,Maipo Valley
391,Chile,88,14,Central Valley
392,US,87,12,California
393,Chile,87,11,Lontué Valley
394,Chile,87,12,Maipo Valley
395,Italy,87,,Northeastern Italy
396,US,85,16,California
397,Chile,85,15,Colchagua Valley
398,Chile,85,13,Curicó Valley
399,Italy,85,24,Veneto
400,Italy,85,13,Italy Other
401,Italy,85,19,Veneto
402,Chile,85,11,Colchagua Valley
403,US,85,15,California
404,US,85,45,California
405,Italy,85,19,Veneto
406,France,85,30,Champagne
407,Chile,85,14,Casablanca Valley
408,Italy,85,15,Veneto
409,US,85,20,New York
410,US,85,20,New York
411,US,85,12,California
412,Italy,85,20,Veneto
413,Italy,85,13,Veneto
414,Italy,85,16,Veneto
415,US,85,14,New York
416,Italy,85,14,Veneto
417,Italy,85,,Veneto
418,Austria,85,,Burgenland
419,France,89,20,Bordeaux
420,France,89,,Bordeaux
421,US,89,30,Washington
422,US,89,20,Washington
423,Austria,89,23,Weinviertel
424,US,89,30,California
425,US,89,18,New York
426,Spain,89,18,Northern Spain
427,US,89,35,New York
428,Austria,89,17,Kremstal
429,US,89,42,Washington
430,US,89,30,California
431,US,89,24,California
432,US,89,16,Washington
433,US,89,27,California
434,Italy,89,89,Piedmont
435,Austria,89,,Thermenregion
436,Italy,89,15,Piedmont
437,US,89,54,California
438,Spain,89,15,Northern Spain
439,Spain,89,42,Northern Spain
440,US,89,38,Washington
441,Austria,89,12,Niederösterreich
442,US,89,35,New York
443,US,88,32,California
444,Austria,88,12,Wagram
445,Italy,88,28,Sicily & Sardinia
446,US,88,20,California
447,France,88,14,Loire Valley
448,France,88,19,Rhône Valley
449,Italy,92,39,Lombardy
450,France,92,,Champagne
451,Italy,92,35,Tuscany
452,France,92,,Burgundy
453,France,92,69,Champagne
454,Canada,92,30,Ontario
455,US,92,40,California
456,US,92,23,California
457,US,92,45,California
458,Italy,92,50,Lombardy
459,France,92,100,Champagne
460,US,92,50,Oregon
461,US,92,29,Oregon
462,France,92,66,Burgundy
463,France,92,60,Champagne
464,Germany,92,115,Rheinhessen
465,Italy,92,69,Veneto
466,France,92,,Champagne
467,US,92,65,Oregon
468,Germany,92,42,Mosel
469,Germany,92,27,Mosel
470,France,92,70,Champagne
471,France,92,73,Burgundy
472,France,92,72,Burgundy
473,Portugal,92,34,Alentejano
474,France,92,,Champagne
475,US,92,130,California
476,US,92,88,California
477,France,92,65,Bordeaux
478,France,92,,Champagne
479,Italy,87,15,Sicily & Sardinia
480,US,87,45,Washington
481,Italy,87,18,Sicily & Sardinia
482,US,87,60,California
483,South Africa,87,12,Stellenbosch
484,South Africa,87,12,Western Cape
485,France,87,13,Rhône Valley
486,US,87,13,California
487,Italy,87,15,Northeastern Italy
488,Italy,87,18,Northeastern Italy
489,Italy,87,13,Northeastern Italy
490,Spain,87,19,Catalonia
491,Austria,87,18,Kremstal
492,US,87,30,Washington
493,US,87,35,Washington
494,US,87,12,New York
495,US,87,18,California
496,Spain,87,25,Northern Spain
497,US,87,30,California
498,US,87,17,California
499,France,87,20,Provence
500,Spain,87,11,Northern Spain
501,US,87,15,California
502,Austria,87,18,Österreichischer Sekt
503,US,87,19,California
504,France,87,15,Rhône Valley
505,Spain,87,16,Northern Spain
506,Italy,87,12,Northeastern Italy
507,US,87,28,Washington
508,US,87,28,Washington
509,US,91,65,California
510,US,91,48,California
511,France,91,70,Champagne
512,France,91,59,Champagne
513,US,91,90,California
514,Chile,91,35,Colchagua Valley
515,US,91,75,California
516,US,91,55,California
517,US,91,55,California
518,France,91,60,Burgundy
519,US,91,36,California
520,US,91,35,California
521,US,91,35,California
522,US,91,55,Oregon
523,US,91,65,Oregon
524,US,91,35,Washington
525,US,91,49,California
526,US,91,55,Oregon
527,Germany,91,30,Rheinhessen
528,France,91,42,Champagne
529,US,91,45,California
530,Chile,91,24,Colchagua Valley
531,US,91,50,Oregon
532,US,91,50,Oregon
533,US,91,50,Oregon
534,US,91,38,California
535,Germany,91,22,Mosel
536,US,91,50,Washington
537,US,91,110,California
538,US,91,45,Oregon
539,US,93,42,California
540,US,93,60,California
541,US,93,42,California
542,Italy,93,30,Northeastern Italy
543,US,93,75,California
544,US,93,54,California
545,US,93,85,California
546,US,93,50,California
547,US,93,150,California
548,US,93,85,California
549,Italy,93,90,Piedmont
550,US,93,35,California
551,US,93,46,California
552,France,93,20,Provence
553,Argentina,93,42,Mendoza Province
554,France,93,40,Provence
555,US,93,75,Washington
556,Spain,93,88,Northern Spain
557,US,93,40,California
558,US,93,25,California
559,US,93,48,California
560,US,93,45,California
561,US,93,50,California
562,US,93,65,California
563,US,93,48,California
564,US,93,62,California
565,US,93,100,California
566,US,93,53,California
567,Argentina,93,55,Mendoza Province
568,US,93,70,California
569,US,89,38,Washington
570,US,89,50,Washington
571,US,89,25,California
572,Italy,89,15,Piedmont
573,France,89,14,Bordeaux
574,France,89,11,Rhône Valley
575,France,89,14,Bordeaux
576,France,89,37,Bordeaux
577,US,89,17,New York
578,France,89,15,Bordeaux
579,US,89,13,California
580,US,89,18,Washington
581,US,89,26,Washington
582,US,89,18,Washington
583,US,89,32,California
584,Austria,89,18,Kamptal
585,US,89,25,Washington
586,Austria,89,18,Steiermark
587,Austria,89,20,Südsteiermark
588,US,89,18,California
589,Austria,89,,Burgenland
590,US,89,17,California
591,Austria,89,13,Niederösterreich
592,US,89,41,Washington
593,Austria,89,16,Niederösterreich
594,France,89,20,Rhône Valley
595,US,89,30,Washington
596,Greece,89,13,Crete
597,Austria,89,24,Kremstal
598,US,89,36,California
599,US,87,20,California
600,Italy,87,19,Piedmont
601,Mexico,87,15,Valle de Guadalupe
602,US,87,69,California
603,US,87,36,New York
604,Spain,87,35,Northern Spain
605,Argentina,87,30,Mendoza Province
606,US,87,25,Oregon
607,US,87,25,Oregon
608,Portugal,87,15,Douro
609,US,87,20,Oregon
610,US,87,17,California
611,US,87,54,California
612,US,87,40,California
613,Portugal,87,12,Vinho Verde
614,Italy,87,19,Veneto
615,Argentina,87,11,Mendoza Province
616,US,87,45,California
617,Italy,87,25,Veneto
618,US,87,35,California
619,Italy,87,16,Piedmont
620,Italy,87,20,Veneto
621,US,87,28,California
622,US,87,25,Idaho
623,US,87,28,Idaho
624,US,87,20,Idaho
625,Italy,87,15,Veneto
626,Italy,87,23,Veneto
627,Italy,87,19,Piedmont
628,Australia,92,35,South Australia
629,US,92,75,California
630,US,92,48,Oregon
631,France,92,54,Alsace
632,France,92,34,Alsace
633,Australia,92,60,Victoria
634,US,92,48,California
635,Spain,92,28,Northern Spain
636,Australia,92,125,South Australia
637,France,92,45,Alsace
638,France,92,36,Alsace
639,France,92,30,Alsace
640,US,92,37,California
641,US,92,25,California
642,Portugal,92,30,Alentejano
643,US,92,60,California
644,US,92,40,California
645,US,92,50,Oregon
646,Portugal,92,23,Tejo
647,Portugal,92,80,Douro
648,Germany,92,34,Mosel
649,US,92,75,California
650,Italy,92,24,Northeastern Italy
651,France,92,39,Alsace
652,Australia,92,21,Western Australia
653,US,92,35,California
654,France,92,43,Alsace
655,US,92,30,California
656,US,92,70,Oregon
657,South Africa,92,50,Coastal Region
658,US,90,40,California
659,US,90,45,Washington
660,US,90,80,California
661,US,90,15,California
662,Italy,90,65,Piedmont
663,US,90,65,California
664,Italy,90,35,Piedmont
665,Italy,90,25,Piedmont
666,US,90,20,Washington
667,Spain,90,15,Levante
668,US,90,26,New York
669,US,90,30,Washington
670,US,90,13,Washington
671,US,90,45,California
672,US,90,26,New York
673,US,90,44,California
674,US,90,38,California
675,US,90,28,California
676,US,90,32,Washington
677,Italy,90,50,Tuscany
678,Italy,90,35,Tuscany
679,US,90,35,Washington
680,Spain,90,25,Northern Spain
681,US,90,42,Washington
682,Italy,90,45,Piedmont
683,Italy,90,70,Tuscany
684,US,90,30,Washington
685,US,90,75,California
686,Italy,90,53,Piedmont
687,US,90,29,California
688,US,91,90,Washington
689,US,91,35,California
690,Austria,91,35,Burgenland
691,US,91,50,California
692,Italy,91,35,Tuscany
693,US,91,65,California
694,South Africa,91,50,Stellenbosch
695,Italy,91,43,Tuscany
696,New Zealand,91,28,Marlborough
697,Austria,91,,Wagram
698,US,91,20,Washington
699,South Africa,91,40,Simonsberg-Stellenbosch
700,Argentina,91,30,Mendoza Province
701,France,91,65,Provence
702,France,91,17,Provence
703,France,91,,Provence
704,France,91,20,Provence
705,New Zealand,91,28,Marlborough
706,France,91,20,Provence
707,France,91,20,Provence
708,France,91,25,Provence
709,US,91,38,California
710,New Zealand,91,120,Martinborough
711,US,91,23,California
712,US,91,48,California
713,US,91,32,California
714,New Zealand,91,50,Central Otago
715,Argentina,91,28,Mendoza Province
716,New Zealand,91,30,Central Otago
717,France,91,25,Provence
718,Portugal,85,8,Lisboa
719,France,85,15,Burgundy
720,Portugal,85,22,Alentejano
721,Argentina,85,14,Mendoza Province
722,Argentina,85,25,Mendoza Province
723,Portugal,85,8,Vinho Verde
724,US,85,14,Texas
725,Italy,85,80,Piedmont
726,Portugal,85,9,Vinho Verde
727,US,85,13,Oregon
728,Argentina,85,17,Other
729,Portugal,85,10,Alentejano
730,US,85,16,California
731,France,85,10,France Other
732,France,85,22,Burgundy
733,France,85,40,Burgundy
734,Argentina,85,15,Mendoza Province
735,Argentina,85,17,Other
736,US,85,32,California
737,Portugal,85,12,Península de Setúbal
738,Argentina,85,17,Mendoza Province
739,Italy,85,102,Piedmont
740,US,85,,Texas
741,France,85,10,Burgundy
742,France,85,20,Burgundy
743,US,85,33,California
744,Italy,85,48,Piedmont
745,Portugal,85,12,Alentejo
746,Australia,85,9,Australia Other
747,US,87,24,California
748,US,87,75,New York
749,France,87,12,Alsace
750,US,87,45,California
751,Chile,87,13,Central Valley
752,France,87,,Alsace
753,US,87,22,California
754,Spain,87,10,Northern Spain
755,US,87,18,California
756,US,87,35,California
757,US,87,36,California
758,US,87,34,California
759,US,87,70,California
760,US,87,28,California
761,Chile,87,19,Colchagua Valley
762,Spain,87,14,Northern Spain
763,Spain,87,10,Northern Spain
764,US,87,45,California
765,US,87,32,California
766,Australia,87,18,Tasmania
767,Spain,87,9,Northern Spain
768,Australia,87,11,Australia Other
769,Italy,87,30,Southern Italy
770,France,92,62,Champagne
771,US,92,40,California
772,France,92,66,Champagne
773,Portugal,92,32,Alentejo
774,US,92,70,Oregon
775,US,92,48,Oregon
776,France,92,72,Champagne
777,Italy,92,18,Northeastern Italy
778,US,92,105,Oregon
779,France,92,101,Champagne
780,Italy,92,50,Tuscany
781,Italy,92,85,Northeastern Italy
782,US,92,35,California
783,US,92,38,California
784,Portugal,90,32,Douro
785,Argentina,90,25,Other
786,Portugal,90,12,Douro
787,US,90,125,California
788,Argentina,90,46,Mendoza Province
789,Germany,90,29,Mosel
790,US,90,17,Washington
791,US,90,85,Oregon
792,France,90,30,Bordeaux
793,US,90,34,Washington
794,US,90,22,California
795,France,90,35,Bordeaux
796,France,90,45,Bordeaux
797,France,90,20,Bordeaux
798,France,90,17,Bordeaux
799,France,90,45,Bordeaux
800,US,90,20,California
801,US,90,50,California
802,France,90,22,Beaujolais
803,US,90,39,Washington
804,US,90,35,Washington
805,US,90,15,Oregon
806,US,90,27,California
807,Australia,90,66,Victoria
808,Italy,90,32,Central Italy
809,Spain,90,20,Central Spain
810,US,90,125,California
811,Germany,90,16,Franken
812,US,90,42,California
813,Australia,90,22,South Australia
814,Italy,86,,Tuscany
815,US,86,18,Washington
816,US,86,22,New York
817,Chile,86,12,Colchagua Valley
818,France,86,15,Beaujolais
819,France,86,9,Southwest France
820,Spain,86,12,Northern Spain
821,Spain,86,15,Catalonia
822,Italy,86,20,Tuscany
823,US,86,28,California
824,US,86,10,California
825,Italy,86,70,Tuscany
826,Italy,86,28,Tuscany
827,Chile,86,11,Curicó Valley
828,France,86,30,Southwest France
829,US,86,26,Washington
830,France,86,15,Beaujolais
831,France,86,23,Beaujolais
832,France,86,,Beaujolais
833,Italy,86,30,Piedmont
834,Chile,86,10,Loncomilla Valley
835,France,86,12,Beaujolais
836,Spain,86,13,Catalonia
837,Spain,86,15,Catalonia
838,US,86,36,Washington
839,US,86,20,New York
840,France,86,,Beaujolais
841,US,86,10,California
842,France,86,16,Beaujolais
843,US,86,25,Washington
844,Italy,90,24,Sicily & Sardinia
845,Italy,90,,Sicily & Sardinia
846,France,90,24,Alsace
847,France,90,33,Alsace
848,France,90,,Burgundy
849,France,90,70,Burgundy
850,France,90,117,Burgundy
851,France,90,,Burgundy
852,France,90,16,Alsace
853,Germany,90,30,Mosel
854,US,90,20,California
855,US,90,35,California
856,Italy,90,25,Southern Italy
857,US,90,28,California
858,US,90,15,Oregon
859,US,90,150,California
860,US,90,45,California
861,Italy,90,30,Sicily & Sardinia
862,Italy,90,19,Sicily & Sardinia
863,US,90,45,California
864,Germany,90,40,Ahr
865,Italy,90,,Sicily & Sardinia
866,Australia,90,25,South Australia
867,US,90,40,Oregon
868,Chile,90,15,Colchagua Valley
869,US,90,42,California
870,US,90,29,California
871,US,90,42,California
872,US,90,18,Oregon
873,Hungary,90,16,Tokaji
874,Portugal,90,40,Douro
875,Portugal,90,,Douro
876,Spain,90,50,Catalonia
877,Italy,90,,Tuscany
878,France,90,35,Bordeaux
879,France,90,45,Bordeaux
880,US,90,20,California
881,Spain,90,44,Catalonia
882,US,90,22,California
883,Italy,90,,Tuscany
884,US,90,28,California
885,US,90,27,California
886,France,90,25,Languedoc-Roussillon
887,Portugal,90,60,Douro
888,US,90,72,Washington
889,US,90,44,California
890,US,90,28,California
891,US,90,29,California
892,US,90,58,Washington
893,Australia,90,15,Australia Other
894,Italy,90,29,Tuscany
895,Italy,90,45,Tuscany
896,US,90,70,California
897,US,90,39,Washington
898,Italy,90,,Tuscany
899,Italy,90,28,Tuscany
900,Spain,90,48,Catalonia
901,Portugal,90,50,Douro
902,US,87,22,Texas
903,Germany,87,10,Nahe
904,Italy,87,50,Piedmont
905,US,87,30,Texas
906,US,87,18,Texas
907,Portugal,87,30,Vinho Verde
908,Italy,87,39,Piedmont
909,Italy,87,35,Piedmont
910,Argentina,87,30,Mendoza Province
911,France,87,23,France Other
912,US,87,18,Oregon
913,,87,30,
914,Argentina,87,20,Other
915,US,87,25,Oregon
916,US,87,20,Oregon
917,Italy,87,50,Piedmont
918,Italy,87,50,Piedmont
919,Argentina,87,15,Mendoza Province
920,Australia,87,,Australia Other
921,Portugal,87,9,Tejo
922,Argentina,87,12,Mendoza Province
923,Portugal,87,14,Tejo
924,Australia,87,18,South Australia
925,US,87,20,California
926,Argentina,87,175,Mendoza Province
927,Portugal,87,12,Vinho Verde
928,Italy,87,60,Piedmont
929,US,87,20,California
930,Argentina,87,15,Mendoza Province
931,Italy,87,35,Piedmont
932,France,87,14,Bordeaux
933,France,87,16,Bordeaux
934,France,87,15,Bordeaux
935,France,87,14,Bordeaux
936,US,87,40,Oregon
937,US,87,29,Oregon
938,Spain,87,15,Northern Spain
939,US,87,55,California
940,France,87,38,Champagne
941,Spain,87,15,Levante
942,US,87,34,California
943,Spain,87,18,Northern Spain
944,US,87,27,Oregon
945,US,87,17,California
946,US,87,65,California
947,Portugal,87,13,Douro
948,Portugal,87,15,Alentejano
949,Italy,87,23,Piedmont
950,US,87,40,California
951,US,87,32,California
952,Spain,87,16,Catalonia
953,US,87,38,Oregon
954,US,87,15,California
955,Italy,87,50,Piedmont
956,Italy,87,30,Southern Italy
957,US,87,24,California
958,Spain,87,18,Northern Spain
959,France,87,40,Champagne
960,France,87,18,Bordeaux
961,France,87,20,Bordeaux
962,France,85,40,Champagne
963,France,85,11,Bordeaux
964,Italy,85,17,Lombardy
965,Italy,85,48,Southern Italy
966,New Zealand,85,9,Marlborough
967,Chile,85,10,Casablanca Valley
968,Italy,85,,Veneto
969,Chile,85,9,Maipo Valley
970,US,85,19,California
971,France,85,15,Champagne
972,US,85,23,California
973,US,85,35,California
974,US,85,30,Washington
975,Italy,85,12,Sicily & Sardinia
976,US,85,17,California
977,US,85,16,California
978,US,85,15,California
979,France,85,10,Bordeaux
980,Italy,85,41,Veneto
981,France,85,10,Bordeaux
982,Italy,85,16,Veneto
983,US,85,25,California
984,Romania,85,12,Dealu Mare
985,Argentina,88,20,Mendoza Province
986,Portugal,88,,Port
987,Australia,88,25,South Australia
988,US,88,20,Oregon
989,Spain,88,53,Northern Spain
990,US,88,12,California
991,France,88,,Southwest France
992,France,88,14,Southwest France
993,France,88,12,Southwest France
994,France,88,22,Loire Valley
995,Italy,88,26,Sicily & Sardinia
